101369201164144669355629459793035010098%2520(1).png,0.5
106614370920093037485409584306755322764%2520(1).png,0.7
133328236855422201864938902493498144642%2520(1).png,0.4
145627746654822562518938481560780165837%2520(1).png,0.6
167553270213235691998981531644131035622%2520(1).png,0.2
23093507042642046919332945950036745726%2520(1).png,0.5
291049260786789288933257186415586466676%2520(1).png,0.6
309421421491335254513555608210540618051%2520(1).png,0.5
52796698965779526832680506323013983679%2520(1).png,0.8
81783047834699504146292441208985426622%2520(1).png,0.2
9101369201164144669355629459793035010098%2520(1).png,0.5
9106614370920093037485409584306755322764%2520(1).png,0.7
9133328236855422201864938902493498144642%2520(1).png,0.4
9145627746654822562518938481560780165837%2520(1).png,0.6
9167553270213235691998981531644131035622%2520(1).png,0.2
923093507042642046919332945950036745726%2520(1).png,0.3
9291049260786789288933257186415586466676%2520(1).png,0.8
9309421421491335254513555608210540618051%2520(1).png,0.6
93869504912627075846780852827251432885%2520(1).png,0.5
952796698965779526832680506323013983679%2520(1).png,0.7
981783047834699504146292441208985426622%2520(1).png,0.2
993869504912627075846780852827251432885%2520(1).png,0.5
